"Ptagis_ID","Year","Q05","Q25","Q50","Q75","Q95","Mean"
"ELKC",2017,0,1.228380535,4.693497064,9.583865499,15.09823648,5.754173339
"ELKC",2018,0,0.974409333,3.921219807,10.68770383,15.4354643,5.720072677
"ELKC",2019,0,0.566153993,4.384811526,10.36097669,14.31456275,5.57768694
"HERDC",2000,0.07462197,1.465425124,5.833548719,10.43165529,15.21587807,6.391221228
"HERDC",2005,0.273399079,1.690950451,4.539830661,9.405454467,14.60966364,5.886643314
"HERDC",1999,0.266815761,1.205047288,4.545403079,9.830730447,14.09257644,5.528579426
"HERDC",2012,0.053665228,1.064233289,4.910200819,10.97761827,15.13560091,6.141990963
"HERDC",2024,NA,NA,NA,NA,NA,NA
"HERDC",2013,0.10837265,1.352432698,5.147122911,10.79355616,15.20477252,6.311745146
"HERDC",2001,0,0.922642588,4.989811325,11.25319993,14.87952686,6.276060147
"HERDC",2002,0.062896641,1.065681217,4.947197628,10.7393957,14.75039714,6.251705861
"HERDC",2003,0.484624607,1.510956672,4.487371894,10.9525961,15.85090801,6.228644029
"HERDC",2004,0.204753761,1.355651092,6.094975518,10.3527896,14.49448356,6.330988665
"HERDC",2017,0,1.397907053,5.053149095,9.094076011,14.74473778,6.057230319
"HERDC",2006,0.308986283,1.283847835,4.969014337,10.20558847,14.64320913,6.016632698
"HERDC",2007,0,1.343385116,5.232830832,11.85048543,15.86981835,6.741258087
"HERDC",2008,0,1.323873591,4.444229473,9.841095973,14.45975878,5.694017796
"HERDC",2009,0.020128593,1.528780357,4.637103976,10.58850982,14.13294203,5.975432537
"HERDC",2010,0.09268022,1.22990821,3.821218201,9.490674533,14.1981165,5.321446333
"HERDC",2011,0.040655864,1.122216786,3.661915746,10.18311152,13.79887608,5.589640784
"HERDC",1998,0.018738193,0.981931807,4.06710755,8.819214104,14.74396568,5.60801924
"HERDC",2015,0.239068211,2.024263379,5.918157474,11.53194488,14.79917241,6.739458841
"HERDC",2016,0.098909171,1.562076156,5.815493794,10.36218106,14.60972147,6.349020696
"HERDC",2018,0.395162253,1.201091437,4.925914536,10.59053061,15.35760075,6.124088695
"HERDC",2014,0,1.488426548,4.514737319,10.73756791,14.84777255,6.019116669
"HERDC",2020,0,1.010613328,4.121776296,10.23957009,14.71385145,5.899631465
"HERDC",2021,0,1.056497307,5.334446937,12.13044468,15.84237168,6.662313445
"HERDC",2022,NA,NA,NA,NA,NA,NA
"HERDC",2019,0.064815563,1.137168149,4.983983477,9.957975672,14.45591757,5.875499143
"HERDC",1997,0.260106441,1.169927982,3.727082989,9.982015844,13.73512056,5.670073699
"HERDC",1992,0.005688103,1.194616429,6.273295388,10.4988925,14.65105536,6.354508378
